"min_ma","max_ma","r_number","name","formation","system","series","intervall","time_slice","reliabilit","subsurface","type","thickness","m_thick","width","m_width","extension","m_ext","ext_belt","belonging","tropical","environmen","subenviron","bathymetry","biota_main","biota_sec","biota_deta","alg_type","p_lmc","p_arag","p_hmc","upwell","control","diversity","m_spec","guild","macro_bor","micro_bor","vert_zonat","hor_zonat","micrite","sparite","debris","dolomite","reservoir","ref1","ref2","remarks","country","latit","longit","collection","pal_lat_m","pal_long_m","pal_lat_scotese","pal_long_scotese"
"139.80","145.00","1143","Mecsek Mountains","","Cretaceous","Lower Cretaceous","Berriasian","22","2","0","1","","","","","","","20","","0","2","2c","1","1","4","10","","10","70","20","0","0","3","","1","1","","","","","","3","0","0","705","1786","Giant volcanoes with atoll type build-ups, found as debris in basinal marls.
Corals, chaetetids, stromatopores, coralline algae, rudists, ostreids and other mollusks.","Hungary","46.1667","18.25","","24.0887433628","25.9957240364","29.4235","24.5497"
"125.00","139.80","1144","Mecsek Mountains II","","Cretaceous","Lower Cretaceous","Valanginian-Barremian","23","2","0","1","","","","","","","20","","0","2","2c","1","1","4","10","","5","65","30","0","0","3","28","1","","","","","","","3","0","0","1786","705","At least 26 coral species. Additionally stromatoporoids and coralline algae.

Abstract ref. 1786:
Macro- and microfossils and microfacies of a few Lower Cretaceous sections in the Mecsek
Mountains have been studied . Twenty five species of corals are reported for the time first from the
Hungarian Cretaceous . Fossils derived from the carbonate platform are often found together with
those of pelagic origin and monomictic volcanoclastics , indicating a special sedimentary environment .
Based on this study the following model is proposed for the Early Cretaceous geological history of the
Mecsek Mountains : instead of overall uplift and erosion giant basalt volcanoes grew above sea level
until the Valanginian , whilst bathyal conditions were preserved between them . The volcanoes were
bordered by gravel beaches , then sandy and silty lagoons , and the edge , of submarine slopes were
crowned by atoll-type build-ups . Fossils and rocks of dif ferent environments were transported down
the slopes of the volcanoes and mixed . As a result of widespread erosion during the Late Cretaceous
or Palaeogene only the basal parts of a few volcanoes are preserved .","Hungary","46.1667","18.25","25151","25.3437862138","25.0448502099","28.3569","24.8073"
"100.50","113.00","1145","Mecsek Mountains III","","Cretaceous","Lower Cretaceous","Albian","24","2","0","1","","","","","","","20","","0","2","2c","1","1","1","10","","5","90","5","0","0","3","28","1","","","","","","","3","0","0","1786","705","see 1144.","Hungary","46.1667","18.25","","30.7666381222","19.7112238447","26.7122","20.9164"
"139.80","152.10","1146","Zaghouan","","Jurassic","Upper Jurassic","Tithonian-Berriasian","22","2","0","1","2","","","","2","","25","","0","1","1a","1","2","5","62","1","20","70","10","0","0","2","","3","","","","","2","2","3","0","0","706","0","Platform reefs with dominance of red algae.
Rudists and Demosponges also important.","Tunisia","36.4","10.1667","","16.3441317886","15.6553823759","23.4665","14.1783"
"139.80","152.10","1147","Jebel Zaghouan","","Jurassic","Upper Jurassic","Tithonian-Berriasian","22","2","0","2","2","50","","","2","30","","","0","3","3a","2","1","3","46","","5","75","20","0","0","2","","2","1","1","3","3","2","1","2","0","0","706","1972","Three stages in reefal development:
Top: Dominated by corals.
Middle: Sponges-corals and some stromatopores.
Base: Algae (Thaumatoporella, Solenopora, Paleodasycladus, Triporella, Macroporella)-solitary corals-stromatopores-sponges and rare bryozoans.

According to ref. 1972 almost 50 % rudists(?) and 25 % microbialties.","Tunisia","36.3333","10.0833","68082","16.3259488863","15.5585862746","23.4387","14.0797"
"157.30","163.50","1148","N-Friuli Platform","","Jurassic","Upper Jurassic","Oxfordian","21","2","1","1","2","","","","3","","150","","0","2","2b","1","1","4","10","","10","70","20","0","0","3","","1","","","","","","","3","0","0","1801","726","Abstract of ref. 1801:
This paper deals with the stratigraphy of well SPAN 1 (San Pietro al Natisone, Eastern Friuli). The stratigraphic sequence is composed by Paleocenic flysch deposits (from 69 m to 748 m), Maastrichtian resedimented carbonates (from 748 m to 940 m) and Late Jurassic reef deposits (from 940 m to 1397 m, total depth). The tectonic and sedimentary evolution of the Valle del Natisone, from the Oxfordian to the Early Eocene, is outlined (Taxa discussed include Foraminifera and corals).","Italy","46.25","13.1333","","22.1400699527","27.7498401107","32.9668","21.8861"
"157.30","163.50","1149","Bosco de Cansiglio","Cellina Limestone","Jurassic","Upper Jurassic","Oxfordian","21","2","0","1","2","","","","3","","150","1148","0","2","2b","1","1","4","10","","10","70","20","0","0","","","1","","","","","","","3","0","0","543","708","","Italy","46.0833","12.5","","21.8078362201","26.2290112515","33.1463","21.3689"
"152.10","157.30","1150","Monte Pala, Friuili Platform","","Jurassic","Upper Jurassic","Kimmeridgian","21","2","0","1","2","","","","4","","200","","0","2","2b","1","4","1","10","","0","20","80","0","0","","","1","","","","","","","3","0","0","708","726","Ellipsactinia reef.","Italy","46.25","12.5833","","22.0427656009","25.762915387","33.1566","21.1352"
"152.10","157.30","1151","Hercegnovi, Montenegro","","Jurassic","Upper Jurassic","Kimmeridgian","21","2","0","1","2","","","","4","","100","512","0","2","2b","1","4","1","10","","20","40","40","0","0","","","1","","","","","","","3","0","0","710","0","Reworked debris only.
See reef 1152 for details.","Yugoslavia","42.5","18.75","","16.3120724156","26.593349296","27.4521","22.2437"
"139.80","145.00","1152","Hercegnovi II, Montenegro","","Cretaceous","Lower Cretaceous","Berriasian","22","2","0","1","3","","","","4","","20","515","0","2","2b","1","4","2","10","1","10","40","50","0","0","","","1","","","","","","","3","0","0","710","0","Reworked debris only.
Stromatopores, chaetetids, Tubiphytes, coralline algae.","Yugoslavia","42.5","18.75","","16.0425815855","26.5752194756","27.0777","21.7836"
