"bin","interval_name","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
70,"Barremian","international ages",125.77,123.585,121.4,4.36999999999999,"Barr","#B3DF7F","black"
71,"Aptian","international ages",121.4,117.2,113,8.40000000000001,"Ap","#BFE48A","black"
72,"Albian","international ages",113,106.75,100.5,12.5,"Al","#CCEA97","black"
73,"Cenomanian","international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
74,"Turonian","international ages",93.9,91.85,89.8,4.10000000000001,"Tu","#BFE35D","black"
75,"Coniacian","international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
76,"Santonian","international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
77,"Campanian","international ages",83.6,77.85,72.1,11.5,"Cam","#E6F47F","black"
78,"Maastrichtian","international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
79,"Danian","international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
80,"Selandian","international ages",61.6,60.4,59.2,2.4,"Sel","#FEBF65","black"
81,"Thanetian","international ages",59.2,57.6,56,3.2,"Th","#FDBF6F","black"
82,"Ypresian","international ages",56,51.9,47.8,8.2,"Y","#FCA773","black"
83,"Lutetian","international ages",47.8,44.5,41.2,6.59999999999999,"Lut","#FCB482","black"
84,"Bartonian","international ages",41.2,39.455,37.71,3.49,"Bart","#FDC091","black"
85,"Priabonian","international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
86,"Rupelian","international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
87,"Chattian","international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
88,"Aquitanian","international ages",23.03,21.735,20.44,2.59,"Aq","#FFFF33","black"
89,"Burdigalian","international ages",20.44,18.21,15.98,4.46,"Bu","#FFFF41","black"
90,"Langhian","international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
91,"Serravallian","international ages",13.82,12.725,11.63,2.19,"Serr","#FFFF59","black"
92,"Tortonian","international ages",11.63,9.438,7.246,4.384,"Tor","#FFFF66","black"
93,"Messinian","international ages",7.246,6.2895,5.333,1.913,"Mes","#FFFF73","black"
94,"Zanclean","international ages",5.333,4.4665,3.6,1.733,"Z","#FFFFB3","black"
95,"Piacenzian","international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
96,"Pleistocene","international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
97,"Holocene","international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
