"accepted_genus","family","genus","coloniality","n","source","description"
"Schindewolfia","Laccophyllidae","Schindewolfia","",1,"",""
"Sutherlandinia","Laccophyllidae","Sutherlandinia","solitary",1,"",""
"Bitraria","Laccophyllidae","Bitraria","solitary",0,"",""
"Boolelasma","Laccophyllidae","Boolelasma","solitary",0,"",""
"Hillaxon","Laccophyllidae","Hillaxon","",0,"",""
"Neaxonella","Laccophyllidae","Neaxonella","solitary",0,"",""
"Pedderelasma","Laccophyllidae","Pedderelasma","solitary",0,"",""
"Retiophyllum","Laccophyllidae","Retiophyllum","solitary",0,"",""
"Lambeophyllum","Lambelasmatidae","Lambeophyllum","solitary",31,"",""
"Lambelasma","Lambelasmatidae","Lambelasma","solitary",4,"",""
"Coelolasma","Lambelasmatidae","Coelolasma","solitary",0,"",""
"Coelostylis","Lambelasmatidae","Coelostylis","solitary",0,"",""
"Dybowskinia","Lambelasmatidae","Dybowskinia","solitary",0,"",""
"Estonielasma","Lambelasmatidae","Estonielasma","",0,"",""
"Prototryplasma","Lambelasmatidae","Prototryplasma","",0,"",""
"Sogdianophyllum","Lambelasmatidae","Sogdianophyllum","colonial",0,"",""
"Lindstroemia","Lindstroemiidae","Lindstroemia","solitary",17,"",""
"Lithostrotion","Lithostrotionidae","Lithostrotion","colonial",228,"",""
"Siphonodendron","Lithostrotionidae","Siphonodendron","colonial",206,"",""
"Diphyphyllum","Lithostrotionidae","Diphyphyllum","colonial",95,"",""
"Tschussovskenia","Lithostrotionidae","Tschussovskenia","colonial",44,"https://doi.org/10.1144/SP450.13","colonial"
"Stelechophyllum","Lithostrotionidae","Stelechophyllum","colonial",18,"",""
"Aulina","Lithostrotionidae","Aulina","colonial",15,"",""
"Orionastraea","Lithostrotionidae","Orionastraea","colonial",11,"",""
"Aulokoninckophyllum","Lithostrotionidae","Aulokoninckophyllum","both",7,,"Solitary, or rarely weakly fasciculate"
"Dorlodotia","Lithostrotionidae","Dorlodotia","colonial",7,"",""
"Sciophyllum","Lithostrotionidae","Sciophyllum","colonial",6,"",""
"Tizraia","Lithostrotionidae","Tizraia","colonial",5,"Said, Ismail, and Sergio Rodríguez. ""A new genus of coral (Rugosa) from the Adarouch area (Brigantian, NE Central Morocco)."" (2007).","Fasciculate"
"Solenodendron","Lithostrotionidae","Solenodendron","colonial",4,"",""
"Corphalia","Lithostrotionidae","Corphalia","solitary",3,"",""
"Pseudodorlodotia","Lithostrotionidae","Pseudodorlodotia","colonial",3,"",""
"Stylastraea","Lithostrotionidae","Stylastraea","colonial",3,,"cerioid"
"Akiyosiphyllum","Lithostrotionidae","Akiyosiphyllum","colonial",2,"",""
"Cionodendron","Lithostrotionidae","Cionodendron","colonial",1,"",""
"Heterostrotion","Lithostrotionidae","Heterostrotion","",1,"",""
"Nemistium","Lithostrotionidae","Nemistium","colonial",1,"",""
"Schoenophyllum","Lithostrotionidae","Schoenophyllum","colonial",1,"",""
"Aulostylus","Lithostrotionidae","Aulostylus","colonial",0,"",""
"Chonaxis","Lithostrotionidae","Chonaxis","colonial",0,"",""
"Cionodendrom","Lithostrotionidae","Cionodendrom","",0,"",""
"Eastonoides","Lithostrotionidae","Eastonoides","colonial",0,"",""
"Kwangsiphyllum","Lithostrotionidae","Kwangsiphyllum","colonial",0,"",""
"Opiphyllum","Lithostrotionidae","Opiphyllum","colonial",0,"",""
"Paraaulina","Lithostrotionidae","Paraaulina","solitary",0,"",""
"Vesiculotubus","Lithostrotionidae","Vesiculotubus","colonial",0,"",""
"Lonsdaleia","Lonsdaleiidae","Lonsdaleia","colonial",63,"",""
"Thysanophyllum","Lonsdaleiidae","Thysanophyllum","colonial",12,"",""
"Stereostylus","Lophophyllidae","Stereostylus","solitary",25,"",""
"Lophophyllum","Lophophyllidae","Lophophyllum","solitary",23,"",""
"Lophamplexus","Lophophyllidae","Lophamplexus","solitary",17,"",""
"Sugiyamaella","Lophophyllidae","Sugiyamaella","solitary",3,"",""
"Lophophyllidium","Lophophyllidiidae","Lophophyllidium","solitary",445,"",""
"Lophocarinophyllum","Lophophyllidiidae","Lophocarinophyllum","solitary",49,"",""
"Pseudowannerophyllum","Lophophyllidiidae","Pseudowannerophyllum","solitary",11,"",""
"LophophyIlidium","Lophophyllidiidae","LophophyIlidium","solitary",6,,"solitary"
"Paraduplophyllum","Lophotichiidae","Paraduplophyllum","solitary",73,"https://doi.org/10.1144/SP450.13","solitary"
"Assimulia","Lophotichiidae","Assimulia","solitary",62,"https://doi.org/10.1144/SP450.13","solitary"
"Lophotichium","Lophotichiidae","Lophotichium","solitary",36,"",""
"Phaulactis","Lykophyllidae","Phaulactis","solitary",71,"",""
"Pycnactis","Lykophyllidae","Pycnactis","solitary",20,"",""
"Plasmophyllum","Lykophyllidae","Plasmophyllum","solitary",17,"",""
"Holophragma","Lykophyllidae","Holophragma","solitary",14,"",""
"Neocystiphyllum","Lykophyllidae","Neocystiphyllum","solitary",14,"",""
"Pseudophaulactis","Lykophyllidae","Pseudophaulactis","solitary",4,"",""
"Reimanophyllum","Lykophyllidae","Reimanophyllum","colonial",4,"",""
"Rukhinia","Lykophyllidae","Rukhinia","solitary",4,"",""
"Ryderophyllum","Lykophyllidae","Ryderophyllum","solitary",4,"",""
"Camurophyllum","Lykophyllidae","Camurophyllum","solitary",2,"",""
"Strephophyllum","Lykophyllidae","Strephophyllum","colonial",2,"",""
"Onychophyllum","Lykophyllidae","Onychophyllum","solitary",1,"",""
"Hercophyllum","Lykophyllidae","Hercophyllum","solitary",0,"",""
"Pseudocystiphyllum","Lykophyllidae","Pseudocystiphyllum","solitary",0,"",""
"Sverigophyllum","Lykophyllidae","Sverigophyllum","solitary",0,"",""
"Svetlania","Lykophyllidae","Svetlania","solitary",0,"",""
"Zeravschania","Lykophyllidae","Zeravschania","solitary",0,"",""
"Metriophyllum","Metriophyllidae","Metriophyllum","solitary",48,"",""
"Asserculinia","Metriophyllidae","Asserculinia","solitary",17,"",""
"Duncanella","Metriophyllidae","Duncanella","solitary",5,"",""
"Metrioplexus","Metriophyllidae","Metrioplexus","solitary",4,"",""
"Buschophyllum","Metriophyllidae","Buschophyllum","solitary",1,"",""
"Petronella","Metriophyllidae","Petronella","solitary",1,"",""
"Antiphyllum","Metriophyllidae","Antiphyllum","solitary",0,"",""
"Centrocellulosum","Metriophyllidae","Centrocellulosum","solitary",0,"",""
"Disophyllum","Metriophyllidae","Disophyllum","solitary",0,"",""
"Pseudamplexus","Mucophyllidae","Pseudamplexus","solitary",70,"",""
"Amplexoides","Mucophyllidae","Amplexoides","solitary",34,"",""
"Mucophyllum","Mucophyllidae","Mucophyllum","solitary",30,"",""
"Stylopleura","Mucophyllidae","Stylopleura","colonial",16,"",""
"Pseudotryplasma","Mucophyllidae","Pseudotryplasma","solitary",7,"",""
"Briantia","Mucophyllidae","Briantia","solitary",2,"",""
"Kungejophyllum","Mucophyllidae","Kungejophyllum","solitary",1,"",""
"Pseudamplexophyllum","Mucophyllidae","Pseudamplexophyllum","colonial",0,"",""
"Neocolumnaria","Neocolumnariidae","Neocolumnaria","colonial",1,"",""
"Palaeocyclus","Palaeocyclidae","Palaeocyclus","solitary",21,"",""
"Rhabdocyclus","Palaeocyclidae","Rhabdocyclus","solitary",20,"",""
"Primitophyllum","Palaeocyclidae","Primitophyllum","solitary",2,"",""
"Bojocyclus","Palaeocyclidae","Bojocyclus","solitary",0,"",""
"Palaeosmilia","Palaeosmiliidae","Palaeosmilia","both",103,,"solitary, ?fasciculate"
"Palastraea","Palaeosmiliidae","Palastraea","colonial",11,"",""
"Qinghaiphyllum","Palaeosmiliidae","Qinghaiphyllum","solitary",0,"",""
"Acanthocyclus","Paleocyclidae","Acanthocyclus","",2,"",""
"Paleocyclus","Paleocyclidae","Paleocyclus","",2,"",""
"Paliphyllum","Paliphyllidae","Paliphyllum","solitary",22,"",""
"Neopaliphyllum","Paliphyllidae","Neopaliphyllum","solitary",3,"",""
"Cystipaliphyllum","Paliphyllidae","Cystipaliphyllum","solitary",1,"",""
"Protocyathactis","Paliphyllidae","Protocyathactis","solitary",1,"",""
"Gissarophyllum","Paliphyllidae","Gissarophyllum","solitary",0,"",""
"Protoramulophyllum","Paliphyllidae","Protoramulophyllum","solitary",0,"",""
"Sumsarophyllum","Paliphyllidae","Sumsarophyllum","solitary",0,"",""
"Pentaphyllum","Pentaphyllidae","Pentaphyllum","solitary",173,"",""
"Tachylasma","Pentaphyllidae","Tachylasma","solitary",76,"",""
"Cystelasma","Pentaphyllidae","Cystelasma","solitary",4,"",""
"Pentamplexus","Pentaphyllidae","Pentamplexus","solitary",4,"",""
"Carinotachylasma","Pentaphyllidae","Carinotachylasma","solitary",1,"",""
"Oligophyllum","Pentaphyllidae","Oligophyllum","solitary",1,"",""
"Antikinkaidia","Pentaphyllidae","Antikinkaidia","solitary",0,"",""
"Commutia","Pentaphyllidae","Commutia","solitary",0,"",""
"Dalnia","Pentaphyllidae","Dalnia","solitary",0,"",""
"Petalaxis","Petalaxidae","Petalaxis","colonial",100,"",""
"Lithostrotionella","Petalaxidae","Lithostrotionella","colonial",34,"",""
"Lytvophyllum","Petalaxidae","Lytvophyllum","colonial",18,"",""
"Ivanovia","Petalaxidae","Ivanovia","colonial",16,"",""
"Cystolonsdaleia","Petalaxidae","Cystolonsdaleia","colonial",15,"",""
"Antheria","Petalaxidae","Antheria","colonial",5,"",""
"Protoivanovia","Petalaxidae","Protoivanovia","colonial",4,"",""
"Paralithostrotion","Petalaxidae","Paralithostrotion","colonial",2,"",""
"Omaniphyllum","Petalaxidae","Omaniphyllum","colonial",1,"",""
"Huanglongophyllum","Petalaxidae","Huanglongophyllum","colonial",0,"",""
"Petraia","Petraiidae","Petraia","solitary",5,"",""
"Haptophyllum","Petraiidae","Haptophyllum","solitary",1,"",""
"Petraiella","Petraiidae","Petraiella","solitary",0,"",""
"Protozaphrentis","Petraiidae","Protozaphrentis","solitary",0,"",""
"Petraphyllum","Petraphyllidae","Petraphyllum","",2,"",""
"Phillipsastrea","Phillipsastreidae","Phillipsastrea","colonial",183,"",""
"Thamnophyllum","Phillipsastreidae","Thamnophyllum","colonial",141,"",""
"Pterorrhiza","Phillipsastreidae","Pterorrhiza","solitary",117,,"solitary"
"Frechastraea","Phillipsastreidae","Frechastraea","colonial",76,"",""
"Peneckiella","Phillipsastreidae","Peneckiella","colonial",72,"",""
"Philippastrea","Phillipsastreidae","Philippastrea","colonial",63,,"Thamnasterioid or in places astreoid or aphroid"
"Phacellophyllum","Phillipsastreidae","Phacellophyllum","colonial",23,"",""
"Chuanbeiphyllum","Phillipsastreidae","Chuanbeiphyllum","colonial",15,,"Thamnasterioid or in places astreoid or aphroid"
"Scruttonia","Phillipsastreidae","Scruttonia","colonial",15,"",""
"Kuangxiastraea","Phillipsastreidae","Kuangxiastraea","colonial",7,"Errenst, Christoph. Koloniebildende Phillipsastreidae und Hexagonariinae aus dem Givetium des Messinghäuser Sattels und vom Südrand des Briloner Massenkalkes (nordöstliches Sauerland). Landschaftsverband Westfalen-Lippe, 1993.","subthamnasterioid"
"Trapezophyllum","Phillipsastreidae","Trapezophyllum","colonial",7,"",""
"Farabophyllum","Phillipsastreidae","Farabophyllum","colonial",6,"",""
"Smithicyathus","Phillipsastreidae","Smithicyathus","colonial",5,,"Thamnasterioid or in places astreoid or aphroid"
"Protomacgeea","Phillipsastreidae","Protomacgeea","solitary",3,"",""
"Pseudopexiphyllum","Phillipsastreidae","Pseudopexiphyllum","",1,"",""
"Stellatophyllum","Phillipsastreidae","Stellatophyllum","colonial",1,"",""
"Sulcorphyllum","Phillipsastreidae","Sulcorphyllum","colonial",1,"",""
"Bensonastraea","Phillipsastreidae","Bensonastraea","colonial",0,"",""
"Keriophylloides","Phillipsastreidae","Keriophylloides","colonial",0,"",""
"Sudetia","Phillipsastreidae","Sudetia","colonial",0,"",""
"Vestigiphyllum","Phillipsastreidae","Vestigiphyllum","colonial",0,"",""
"Plerodiffia","Plerodiffiidae","Plerodiffia","",2,"",""
"Ufimia","Plerophyllidae","Ufimia","solitary",93,"",""
"Paracaninia","Plerophyllidae","Paracaninia","solitary",52,"",""
"Plerophyllum","Plerophyllidae","Plerophyllum","solitary",44,"",""
"Pleramplexus","Plerophyllidae","Pleramplexus","solitary",7,"",""
"Wendticyathus","Plerophyllidae","Wendticyathus","solitary",1,"",""
"Barbarella","Plerophyllidae","Barbarella","solitary",0,"",""
"Barylasma","Plerophyllidae","Barylasma","solitary",0,"",""
"Baryphyllum","Plerophyllidae","Baryphyllum","solitary",0,"",""
"Calophyllum","Polycoeliidae","Calophyllum","solitary",79,"",""
"Sochkineophyllum","Polycoeliidae","Sochkineophyllum","solitary",22,"",""
"Hexalasma","Polycoeliidae","Hexalasma","solitary",5,"",""
"Prosmilia","Polycoeliidae","Prosmilia","solitary",4,"",""
"Fedorowskites","Polycoeliidae","Fedorowskites","solitary",3,"https://doi.org/10.1144/SP450.13","solitary"
"Huangophyllum","Polycoeliidae","Huangophyllum","solitary",3,"",""
"Cryptophyllum","Polycoeliidae","Cryptophyllum","",2,"",""
"Gerthia","Polycoeliidae","Gerthia","solitary",2,"",""
"Tetralasma","Polycoeliidae","Tetralasma","solitary",2,"",""
"Amandaraia","Polycoeliidae","Amandaraia","solitary",1,"",""
"Empodesma","Polycoeliidae","Empodesma","solitary",1,"",""
"Kinkaidia","Polycoeliidae","Kinkaidia","solitary",1,"",""
"Maichelasma","Polycoeliidae","Maichelasma","",1,"",""
"Pseudocryptophyllum","Polycoeliidae","Pseudocryptophyllum","solitary",1,"",""
"Svalbardphyllum","Polycoeliidae","Svalbardphyllum","solitary",1,"",""
"Calophylloides","Polycoeliidae","Calophylloides","colonial",0,"",""
"Groenlandophyllum","Polycoeliidae","Groenlandophyllum","solitary",0,"",""
"Pleophyllum","Polycoeliidae","Pleophyllum","solitary",0,"",""
"Stereocorypha","Polycoeliidae","Stereocorypha","solitary",0,"",""
"Cheilaxonia","Protozaphrentidae","Cheilaxonia","solitary",3,"Denayer, Julien, et al. ""Lower and Middle Famennian (Upper Devonian) rugose corals from southern Belgium and northern France."" Geologica Belgica 15.4 (2012).","solitary"
"Hamarophyllum","Protozaphrentidae","Hamarophyllum","",2,"",""
"Vesiculolasma","Protozaphrentidae","Vesiculolasma","",1,"",""
"Weyeraia","Protozaphrentidae","Weyeraia","",1,"",""
"Hiroshimaphyllum","Pseudopavonidae","Hiroshimaphyllum","colonial",8,"",""
"Taisyakuphyllum","Pseudopavonidae","Taisyakuphyllum","both",8,,"solitary or  fasciculate"
"Pseudopavona","Pseudopavonidae","Pseudopavona","colonial",7,"",""
"Ozakiphyllum","Pseudopavonidae","Ozakiphyllum","colonial",5,"",""
"Ibukiphyllum","Pseudopavonidae","Ibukiphyllum","colonial",1,"",""
"Omiphyllum","Pseudopavonidae","Omiphyllum","colonial",1,"",""
"Parapavona","Pseudopavonidae","Parapavona","",1,"",""
"Amygdalophyllidium","Pseudopavonidae","Amygdalophyllidium","solitary",0,"",""
"Acanthophyllum","Ptenophyllidae","Acanthophyllum","both",179,,"Solitary or weakly fasciculate"
"Grypophyllum","Ptenophyllidae","Grypophyllum","solitary",79,"",""
"Xystriphyllum","Ptenophyllidae","Xystriphyllum","colonial",71,"",""
"Lyrielasma","Ptenophyllidae","Lyrielasma","both",68,,"solitary to fasciculate"
"Dohmophyllum","Ptenophyllidae","Dohmophyllum","both",40,,"Solitary or weakly phaceloid"
"Neomphyma","Ptenophyllidae","Neomphyma","both",38,,"solitary or weakly fasciculate"
"Spongophylloides","Ptenophyllidae","Spongophylloides","solitary",37,"",""
"Australophyllum","Ptenophyllidae","Australophyllum","colonial",30,"",""
"Embolophyllum","Ptenophyllidae","Embolophyllum","colonial",22,"",""
"Taimyrophyllum","Ptenophyllidae","Taimyrophyllum","colonial",20,"",""
"Psydracophyllum","Ptenophyllidae","Psydracophyllum","colonial",9,"",""
"Aphroidophyllum","Ptenophyllidae","Aphroidophyllum","colonial",5,"",""
"Pseudochonophyllum","Ptenophyllidae","Pseudochonophyllum","solitary",5,"",""
"Shastaphyllum","Ptenophyllidae","Shastaphyllum","colonial",5,"",""
"Toquimaphyllum","Ptenophyllidae","Toquimaphyllum","colonial",5,"",""
"Ecnomiophyllum","Ptenophyllidae","Ecnomiophyllum","",4,"",""
"Pseudogrypophyllum","Ptenophyllidae","Pseudogrypophyllum","colonial",4,"",""
"Salairophyllum","Ptenophyllidae","Salairophyllum","solitary",4,"",""
"Tonkinaria","Ptenophyllidae","Tonkinaria","solitary",4,"",""
"Hankaxis","Ptenophyllidae","Hankaxis","solitary",3,"",""
"Redstonea","Ptenophyllidae","Redstonea","colonial",3,"",""
"Weissermelia","Ptenophyllidae","Weissermelia","colonial",3,"",""
"Acmophyllum","Ptenophyllidae","Acmophyllum","solitary",2,"",""
"Cymatelasma","Ptenophyllidae","Cymatelasma","solitary",2,"",""
"Gaynaphyllum","Ptenophyllidae","Gaynaphyllum","",1,"",""
"Gryphophyllum","Ptenophyllidae","Gryphophyllum","",1,"",""
"Laroonaphyllum","Ptenophyllidae","Laroonaphyllum","",1,"",""
"Cymatella","Ptenophyllidae","Cymatella","solitary",0,"",""
"Dubrovia","Ptenophyllidae","Dubrovia","solitary",0,"",""
"Eddastraea","Ptenophyllidae","Eddastraea","",0,"",""
"Hezhangophyllum","Ptenophyllidae","Hezhangophyllum","solitary",0,"",""
"Imennovia","Ptenophyllidae","Imennovia","colonial",0,"",""
"Paleogrypophyllum","Ptenophyllidae","Paleogrypophyllum","colonial",0,"",""
"Windelasma","Ptenophyllidae","Windelasma","colonial",0,"",""
"Cyathactis","Ptychophyllidae","Cyathactis","solitary",33,"",""
"Ptychophyllum","Ptychophyllidae","Ptychophyllum","solitary",33,"",""
"Implicophyllum","Ptychophyllidae","Implicophyllum","solitary",0,"",""
"Zelophyllum","Pycnostylidae","Zelophyllum","colonial",39,"",""
"Pycnostylus","Pycnostylidae","Pycnostylus","colonial",19,"",""
"Cyathopaedium","Pycnostylidae","Cyathopaedium","colonial",7,"",""
"Depasophyllum","Pycnostylidae","Depasophyllum","colonial",4,"",""
"Fletcherina","Pycnostylidae","Fletcherina","colonial",2,"",""
"Protopilophyllum","Pycnostylidae","Protopilophyllum","solitary",2,"",""
"Synamplexus","Pycnostylidae","Synamplexus","colonial",0,"",""
"Thecacristatus","Pycnostylidae","Thecacristatus","colonial",0,"",""
"Romanophyllum","Romanophyllidae","Romanophyllum","",0,"",""
"Siphonophrentis","Siphonophrentidae","Siphonophrentis","solitary",49,"",""
"Syvjuphyllum","Siphonophrentidae","Syvjuphyllum","",0,"",""
"Spongophyllum","Spongophyllidae","Spongophyllum","colonial",55,"",""
"Tawuphyllum","Spongophyllidae","Tawuphyllum","colonial",10,"",""
"Carlinastraea","Spongophyllidae","Carlinastraea","colonial",8,"",""
"Battersbyia","Spongophyllidae","Battersbyia","colonial",4,"",""
"Denayphyllum","Spongophyllidae","Denayphyllum","colonial",0,"",""
"Heterospongophyllum","Spongophyllidae","Heterospongophyllum","colonial",0,"",""
"Neovepresiphyllum","Spongophyllidae","Neovepresiphyllum","colonial",0,"",""
"Palaeophyllum","Stauriidae","Palaeophyllum","colonial",109,"",""
"Favistella","Stauriidae","Favistella","colonial",56,"",""
"Dendrostella","Stauriidae","Dendrostella","colonial",52,"",""
"Synaptophyllum","Stauriidae","Synaptophyllum","colonial",26,"",""
"Cyathophylloides","Stauriidae","Cyathophylloides","colonial",24,"",""
"Favistina","Stauriidae","Favistina","colonial",18,"",""
"Loyolophyllum","Stauriidae","Loyolophyllum","colonial",14,"",""
"Ceriaster","Stauriidae","Ceriaster","colonial",13,"",""
"Stauria","Stauriidae","Stauria","colonial",9,"",""
"Nadotia","Stauriidae","Nadotia","colonial",5,"",""
"Astrictophyllum","Stauriidae","Astrictophyllum","colonial",4,"",""
"Crenulites","Stauriidae","Crenulites","colonial",4,"",""
"Modesta","Stauriidae","Modesta","colonial",4,"",""
"Neotabularia","Stauriidae","Neotabularia","colonial",2,"",""
"Placophyllum","Stauriidae","Placophyllum","colonial",2,"",""
"Parastauria","Stauriidae","Parastauria","colonial",1,"",""
"Columnolasma","Stauriidae","Columnolasma","colonial",0,"",""
"Palaeoentelophyllum","Stauriidae","Palaeoentelophyllum","colonial",0,"",""
"Palaeolithostrotion","Stauriidae","Palaeolithostrotion","colonial",0,"",""
"Prisciturben","Stauriidae","Prisciturben","colonial",0,"",""
"Proterophyllum","Stauriidae","Proterophyllum","colonial",0,"",""
"Stauromatidium","Stauromatidiidae","Stauromatidium","",7,"",""
"Stereolasma","Stereolasmatidae","Stereolasma","solitary",111,"",""
"Amplexiphyllum","Stereolasmatidae","Amplexiphyllum","solitary",75,"",""
"Saleelasma","Stereolasmatidae","Saleelasma","solitary",5,,"solitary"
"Lopholasma","Stereolasmatidae","Lopholasma","solitary",2,"",""
"Stewartophyllum","Stereolasmatidae","Stewartophyllum","solitary",1,"",""
"Streptelasma","Streptelasmatidae","Streptelasma","solitary",455,"",""
"Grewingkia","Streptelasmatidae","Grewingkia","solitary",201,"",""
"Bighornia","Streptelasmatidae","Bighornia","solitary",83,"",""
"Enterolasma","Streptelasmatidae","Enterolasma","solitary",60,"",""
"Salvadorea","Streptelasmatidae","Salvadorea","solitary",49,"Elias, Robert J. ""Solitary rugose corals of the Upper Ordovician Montoya Group, southern New Mexico and westernmost Texas."" Journal of Paleontology 59.S16 (1985): 1-58.",""
"Helicelasma","Streptelasmatidae","Helicelasma","solitary",45,"",""
"Dinophyllum","Streptelasmatidae","Dinophyllum","solitary",44,"",""
"Crassilasma","Streptelasmatidae","Crassilasma","solitary",43,"",""
"Rhegmaphyllum","Streptelasmatidae","Rhegmaphyllum","solitary",43,"",""
"Deiracorallium","Streptelasmatidae","Deiracorallium","solitary",38,"",""
"Breviphrentis","Streptelasmatidae","Breviphrentis","solitary",37,"",""
"Asthenophyllum","Streptelasmatidae","Asthenophyllum","solitary",36,"",""
"Lobocorallium","Streptelasmatidae","Lobocorallium","solitary",35,"",""
"Bodophyllum","Streptelasmatidae","Bodophyllum","solitary",25,"",""
"Kenophyllum","Streptelasmatidae","Kenophyllum","solitary",25,"",""
"Leolasma","Streptelasmatidae","Leolasma","solitary",16,"",""
"Briantelasma","Streptelasmatidae","Briantelasma","solitary",15,"",""
"Dalmanophyllum","Streptelasmatidae","Dalmanophyllum","solitary",15,"",""
"Triplophyllum","Streptelasmatidae","Triplophyllum","solitary",11,"",""
"Eurogrewingkia","Streptelasmatidae","Eurogrewingkia","solitary",10,"Neuman, Björn EE. ""The new early Palaeozoic rugose coral genera Eurogrewingkia gen. nov. and Fosselasma gen. nov."" Proceedings of the Estonian Academy of Sciences (Geology). Vol. 52. 2003.","solitary"
"Rectigrewingkia","Streptelasmatidae","Rectigrewingkia","solitary",10,"",""
"Breviphyllum","Streptelasmatidae","Breviphyllum","solitary",9,"",""
"Altaiophyllum","Streptelasmatidae","Altaiophyllum","colonial",8,,"solitary"
"Altaiophyllum","Streptelasmatidae","Altaiophyllum","solitary",8,,"solitary"
"Borelasma","Streptelasmatidae","Borelasma","solitary",8,"",""
"Axolasma","Streptelasmatidae","Axolasma","solitary",6,"",""
"Densiphrentis","Streptelasmatidae","Densiphrentis","solitary",6,,"solitary"
"Fosselasma","Streptelasmatidae","Fosselasma","solitary",6,"Neuman, Björn EE. ""The new early Palaeozoic rugose coral genera Eurogrewingkia gen. nov. and Fosselasma gen. nov."" Proceedings of the Estonian Academy of Sciences (Geology). Vol. 52. 2003.","solitary"
"Homalophyllum","Streptelasmatidae","Homalophyllum","solitary",5,"",""
"Kionelasma","Streptelasmatidae","Kionelasma","solitary",5,"",""
"Neobrachyelasma","Streptelasmatidae","Neobrachyelasma","solitary",4,"",""
"Aknisophyllum","Streptelasmatidae","Aknisophyllum","solitary",3,"",""
"Ullernelasma","Streptelasmatidae","Ullernelasma","solitary",3,"",""
"Densigrewingkia","Streptelasmatidae","Densigrewingkia","solitary",2,"",""
"Paramplexoides","Streptelasmatidae","Paramplexoides","solitary",2,"",""
"Bowenelasma","Streptelasmatidae","Bowenelasma","solitary",1,"",""
"Compressiphyllum","Streptelasmatidae","Compressiphyllum","solitary",1,"",""
"Palaeocyathus","Streptelasmatidae","Palaeocyathus","solitary",1,"",""
"Porfirieviella","Streptelasmatidae","Porfirieviella","solitary",1,"",""
"Pterophrentis","Streptelasmatidae","Pterophrentis","solitary",1,"",""
"Pycnactoides","Streptelasmatidae","Pycnactoides","solitary",1,"",""
"Siphonolasma","Streptelasmatidae","Siphonolasma","solitary",1,"",""
"Angustiphyllum","Streptelasmatidae","Angustiphyllum","solitary",0,"",""
"Archaeozaphrentis","Streptelasmatidae","Archaeozaphrentis","solitary",0,"",""
"Axiphoria","Streptelasmatidae","Axiphoria","solitary",0,,""
"Kaljolasma","Streptelasmatidae","Kaljolasma","solitary",0,"",""
"Nevadaphyllum","Streptelasmatidae","Nevadaphyllum","solitary",0,"",""
"Ogilvilasma","Streptelasmatidae","Ogilvilasma","solitary",0,"",""
"Parabrachyelasma","Streptelasmatidae","Parabrachyelasma","colonial",0,"",""
"Paterophyllum","Streptelasmatidae","Paterophyllum","solitary",0,"",""
"Soshkinolites","Streptelasmatidae","Soshkinolites","solitary",0,"",""
"Tenuilasma","Streptelasmatidae","Tenuilasma","solitary",0,"",""
"Xenocyathellus","Streptelasmatidae","Xenocyathellus","solitary",0,"",""
"Stringophyllum","Stringophyllidae","Stringophyllum","solitary",86,"",""
"Sociophyllum","Stringophyllidae","Sociophyllum","colonial",48,"",""
"Solipetra","Stringophyllidae","Solipetra","solitary",6,"",""
"Sunophyllum","Stringophyllidae","Sunophyllum","solitary",5,"",""
"Parasociophyllum","Stringophyllidae","Parasociophyllum","colonial",1,"",""
"Melrosia","Stringophyllidae","Melrosia","colonial",0,"",""
"Timorphyllum","Timorphyllidae","Timorphyllum","solitary",18,"",""
"Timorocarinophyllum","Timorphyllidae","Timorocarinophyllum","solitary",13,"",""
"Pseudoverbeekiella","Timorphyllidae","Pseudoverbeekiella","solitary",4,"",""
"Tryplasma","Tryplasmatidae","Tryplasma","solitary",252,"",""
"Aphyllum","Tryplasmatidae","Aphyllum","colonial",47,"",""
"Porpites","Tryplasmatidae","Porpites","",26,"",""
"Hillophyllum","Tryplasmatidae","Hillophyllum","both",17,"",""
"Stortophyllum","Tryplasmatidae","Stortophyllum","solitary",11,"",""
"Stortophyllum","Tryplasmatidae","Stortophyllum","colonial",11,"",""
"Polyorophe","Tryplasmatidae","Polyorophe","solitary",4,"",""
"Cantrillia","Tryplasmatidae","Cantrillia","solitary",3,"",""
"Neotryplasma","Tryplasmatidae","Neotryplasma","solitary",3,"",""
"Bowanophyllum","Tryplasmatidae","Bowanophyllum","solitary",2,"",""
"Wenlockia","Tryplasmatidae","Wenlockia","colonial",2,"",""
"Maikottia","Tryplasmatidae","Maikottia","colonial",1,"",""
"Rhabdelasma","Tryplasmatidae","Rhabdelasma","solitary",1,"",""
"Vesiculophyllum","Uraliniidae","Vesiculophyllum","solitary",21,"",""
"Enygmophyllum","Uraliniidae","Enygmophyllum","solitary",7,"",""
"Keyserlingophyllum","Uraliniidae","Keyserlingophyllum","solitary",7,"",""
"Uralinia","Uraliniidae","Uralinia","solitary",4,"",""
"Cystophrentis","Uraliniidae","Cystophrentis","solitary",2,"",""
"Bifossularia","Uraliniidae","Bifossularia","solitary",1,"",""
"Liardiphyllum","Uraliniidae","Liardiphyllum","solitary",1,"",""
"Verbeekiella","Verbeekiellidae","Verbeekiella","solitary",52,"",""
"Wannerophyllum","Verbeekiellidae","Wannerophyllum","solitary",21,"",""
"Cravenia","Verbeekiellidae","Cravenia","solitary",8,"",""
