Interval,max.ma,min.ma,reef_bin,r.stage,r.stage2,s.seq,stg100,stg100.2,stg99,stg99.2,System
lower Chattian,28.1,27.5,48,89,89,30,91,91,90,90,Paleogene
early late Oligocene,28.1,26,48,89,89,30,91,91,90,90,Paleogene
Chattian,28.1,23.03,48,89,89,30,91,91,90,90,Paleogene
Chattian?,28.1,23.03,48,89,89,30,91,91,90,90,Paleogene
Chattian-Aquitanian,28.1,23.03,48,89,90,30,91,92,90,91,Paleogene
Late Oligocene,28.1,23.03,48,89,89,30,91,91,90,90,Paleogene
Upper Oligocene,28.1,23.03,48,89,89,30,91,91,90,90,Paleogene
Chattian/Aquitanian,28.1,20.44,48,89,90,30,91,92,90,91,Paleogene
Chattian-Burdigalian,28.1,15.97,48,89,90,30,91,92,90,92,Paleogene
late Oligocene/Miocene,28.1,5.33,48,NA,NA,30,NA,NA,NA,NA,Paleogene
middle Chattian,27.5,25,48,89,89,30,91,91,90,90,Paleogene
late Chattian,25,23.03,48,89,89,30,91,91,90,90,Paleogene
latest Oligocene,25,23.03,48,89,89,30,91,91,90,90,Paleogene
early Aquitanian,23.03,22,49,90,90,30,92,92,91,91,Neogene
early Early Miocene,23.03,20.44,49,90,90,30,92,92,91,91,Neogene
Aquitanian,23.03,20.44,49,90,90,30,92,92,91,91,Neogene
Early Miocene,23.03,15.97,49,90,90,NA,92,93,91,92,Neogene
Lower Miocene,23.03,15.97,49,90,90,NA,92,93,91,92,Neogene
Early(?) Miocene,23.03,15.97,49,90,90,NA,92,93,91,92,Neogene
lower Miocene,23.03,15.97,49,90,90,NA,92,93,91,92,Neogene
early to middle Miocene,23.03,11.63,49,NA,NA,31,NA,NA,NA,NA,Neogene
Early/Middle Miocene,23.03,11.63,49,NA,NA,31,NA,NA,NA,NA,Neogene
Early-Middle Miocene,23.03,11.63,49,NA,NA,31,NA,NA,NA,NA,Neogene
Miocene,23.03,5.33,NA,NA,NA,NA,NA,NA,NA,NA,Neogene
late Aquitanian,23,22,49,90,90,30,92,92,91,91,Neogene
Aquitanian-Burdigalian,23,16,49,90,90,30,92,93,91,92,Neogene
middle Aquitanian,22,21,49,90,90,30,92,92,91,91,Neogene
Lower Burdigalian,20.44,17.5,49,90,90,31,93,93,92,92,Neogene
lower Burdigalian,20.44,17.5,49,90,90,31,93,93,92,92,Neogene
Burdigalian?,20.44,15.97,49,90,90,31,93,93,92,92,Neogene
Burdigalian,20.44,15.97,49,90,90,31,93,93,92,92,Neogene
Eggenburgian,20.44,15.97,49,90,90,31,93,93,92,92,Neogene
upper lower Miocene,20.44,15.97,49,90,90,31,93,93,92,92,Neogene
Burdigalian/Langhian,20.44,13.82,49,90,91,31,93,94,92,93,Neogene
Burdigalian-Langhian,20.44,13.82,49,90,91,31,93,94,92,93,Neogene
Miocene/Pliocene,20,2.58,50,NA,NA,32,NA,NA,NA,NA,Neogene
Miocene-Pliocene,20,2.58,50,NA,NA,32,NA,NA,NA,NA,Neogene
Mio-Pliocene,20,2.58,50,NA,NA,32,NA,NA,NA,NA,Neogene
upper Burdigalian,17.5,15.97,49,90,90,31,93,93,92,92,Neogene
Langhian,15.97,13.82,49,91,91,31,94,94,93,93,Neogene
Badenian,15.97,13.82,49,91,91,31,94,94,93,93,Neogene
lower Badenian,15.97,13.82,49,91,91,31,94,94,93,93,Neogene
middle/late Badenian,15.97,13.82,49,91,91,31,94,94,93,93,Neogene
upper Badenian,15.97,13.82,49,91,91,31,94,94,93,93,Neogene
early Middle Miocene,15.97,13.82,49,91,91,31,94,94,93,93,Neogene
lower-middle Miocene,15.97,13.82,49,91,91,31,94,94,93,93,Neogene
Langhian-Serravallian,15.97,11.63,49,91,91,31,94,95,93,94,Neogene
Middle Miocene,15.97,11.63,49,91,91,31,94,95,93,94,Neogene
mid- Miocene,15.97,11.63,49,91,91,31,94,95,93,94,Neogene
middle Miocene?,15.97,11.63,49,91,91,31,94,95,93,94,Neogene
Middle/Upper Miocene,15.97,5.33,49,91,91,31,NA,NA,NA,NA,Neogene
Chokrakian,15.3,13.8,49,91,91,31,94,94,93,93,Neogene
late Langhian,14.8,13.82,49,91,91,31,94,94,93,93,Neogene
lower Sarmatian,13.82,12.5,49,91,91,31,95,95,94,94,Neogene
upper Helvetian,13.82,11.63,49,91,91,31,94,94,93,93,Neogene
late middle Miocene,13.82,11.63,49,91,91,31,95,95,94,94,Neogene
upper middle Miocene,13.82,11.63,49,91,91,31,95,95,94,94,Neogene
Serravallian,13.82,11.63,49,91,91,31,95,95,94,94,Neogene
mid-Miocene,13.82,11.63,49,91,91,31,94,95,93,94,Neogene
Karaganian,13.82,13.4,49,91,91,31,95,95,94,94,Neogene
lower Serravallian,13.82,12.7,49,91,91,31,95,95,94,94,Neogene
Konkian,13.4,12.6,49,91,91,31,95,95,94,94,Neogene
Sarmatian,12.7,11.63,49,91,91,31,95,95,94,94,Neogene
middle Sarmatian,12.5,11.8,49,91,91,31,95,95,94,94,Neogene
lower Tortonian,11.63,9,50,92,92,32,96,96,95,95,Neogene
Tortonian,11.63,7.25,50,92,92,32,96,96,95,95,Neogene
Upper Miocene,11.63,5.33,50,92,92,32,96,97,95,96,Neogene
late Miocene,11.63,5.33,50,92,92,32,96,97,95,96,Neogene
Late Miocene?,11.63,5.33,50,92,92,32,96,97,95,96,Neogene
Tortonian/Messinian,11.63,5.33,50,92,92,32,96,97,95,96,Neogene
Tortonian-Messinian,11.63,5.33,50,92,92,32,96,97,95,96,Neogene
Late Miocene/Pliocene,11.63,2.58,50,92,93,32,96,98,95,97,Neogene
upper Miocene/Pliocene,11.63,2.58,50,92,93,32,96,98,95,97,Neogene
upper Miocene-Pliocene,11.63,2.58,50,92,93,32,96,98,95,97,Neogene
upper Miocene - Pliocene,11.63,2.58,50,92,93,32,96,98,95,97,Neogene
Chersonian,11,9,50,92,92,32,96,96,95,95,Neogene
mid-late Tortonian,10,7.25,50,92,92,32,96,96,95,95,Neogene
late Tortonian,9,7.25,50,92,92,32,96,96,95,95,Neogene
upper Tortonian,9,7.25,50,92,92,32,96,96,95,95,Neogene
lower Messinian,7.25,6,50,92,92,32,97,97,96,96,Neogene
Messinian,7.25,5.33,50,92,92,32,97,97,96,96,Neogene
upper Messinian,6,5.33,50,92,92,32,97,97,96,96,Neogene
Zanclean,5.33,3.6,50,93,93,32,98,98,97,97,Neogene
lower Pliocene,5.33,3.6,50,93,93,32,98,98,97,97,Neogene
lower-middle Pliocene,5.33,3,50,93,93,32,98,98,97,97,Neogene
Pliocene,5.33,2.58,50,93,93,32,98,98,97,97,Neogene
Pliocene/Pleistocene,5.33,0.01,50,93,94,32,98,99,97,98,Neogene
Pliocene-Pleistocene,5.33,0.01,50,93,94,32,98,99,97,98,Neogene
Pliocene-Pleistocene?,5.33,0.01,50,93,94,32,98,99,97,98,Neogene
middle Pliocene,3.6,3,50,93,93,32,98,98,97,97,Neogene
late Pliocene,3.6,2.58,50,93,93,32,98,98,97,97,Neogene
Upper Pliocene,3.6,2.58,50,93,93,32,98,98,97,97,Neogene
upper Pliocene?,3.6,2.58,50,93,93,32,98,98,97,97,Neogene
late Pliocene-Pleistocene,3.6,0.78,50,94,94,33,98,99,97,98,Neogene
earliest Pleistocene,2.58,2,50,94,94,33,99,99,98,98,Quaternary
Gelasian,2.58,1.8,50,94,94,33,99,99,98,98,Quaternary
lower-middle Pleistocene,2.58,0.78,50,94,94,33,99,99,98,98,Quaternary
Pleistocene,2.58,0.01,50,94,94,33,99,99,98,98,Quaternary
early Pleistocene,2.5,1.8,50,94,94,33,99,99,98,98,Quaternary
lower Pleistocene,2.5,1.8,50,94,94,33,99,99,98,98,Quaternary
middle Pleistocene,0.78,0.13,50,94,94,33,99,99,98,98,Quaternary
middle/late Pleistocene,0.78,0.01,50,94,94,33,99,99,98,98,Quaternary
middle-upper Pleistocene,0.78,0.01,50,94,94,33,99,99,98,98,Quaternary
late Pleistocene,0.13,0.01,50,94,94,33,99,99,98,98,Quaternary
upper Pleistocene,0.13,0.01,50,94,94,33,99,99,98,98,Quaternary
Tyrrhenian,0.12,0.01,50,94,94,33,99,99,98,98,Quaternary
Holocene,0.01,0,50,95,95,34,100,100,99,99,Quaternary
Recent,0,0,NA,95,95,34,100,100,99,99,Quaternary
Fortunian,539,529,2,4,4,1,4,4,4,4,Cambrian
Stage 2,529,521,3,5,5,1,5,5,5,5,Cambrian
Stage 3,521,514,3,6,6,1,6,6,6,6,Cambrian
Stage 4,514,509,3,7,7,1,7,7,7,7,Cambrian
Wuliuan,509,504.5,4,8,8,1,8,8,8,8,Cambrian
Drumian,504.5,500.5,4,9,9,2,9,9,9,9,Cambrian
Guzhangian,500.5,497,4,10,10,2,10,10,10,10,Cambrian
Paibian,497,494,5,11,11,2,11,11,11,11,Cambrian
Jiangshanian,494,489.5,5,12,12,3,12,12,12,12,Cambrian
Stage 10,489.5,485.4,5,13,13,3,13,13,13,13,Cambrian
