"interval_name","photic","n","bin","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
"Campanian","Brown mesophotic",77,77,"international ages",83.6,77.85,72.1,11.5,"Cam","#E6F47F","black"
"Campanian","Euphotic",298,77,"international ages",83.6,77.85,72.1,11.5,"Cam","#E6F47F","black"
"Campanian","Unknown",141,77,"international ages",83.6,77.85,72.1,11.5,"Cam","#E6F47F","black"
"Capitanian","Blue mesophotic",3,46,"international ages",264.28,261.895,259.51,4.76999999999998,"Cap","#FB9A85","black"
"Capitanian","Euphotic",12,46,"international ages",264.28,261.895,259.51,4.76999999999998,"Cap","#FB9A85","black"
"Capitanian","Unknown",41,46,"international ages",264.28,261.895,259.51,4.76999999999998,"Cap","#FB9A85","black"
"Carnian","Blue mesophotic",19,53,"international ages",237,232,227,10,"Car","#C99BCB","black"
"Carnian","Brown mesophotic",76,53,"international ages",237,232,227,10,"Car","#C99BCB","black"
"Carnian","Euphotic",328,53,"international ages",237,232,227,10,"Car","#C99BCB","black"
"Carnian","Unknown",53,53,"international ages",237,232,227,10,"Car","#C99BCB","black"
"Cenomanian","Blue mesophotic",23,73,"international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
"Cenomanian","Brown mesophotic",74,73,"international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
"Cenomanian","Euphotic",307,73,"international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
"Cenomanian","Unknown",135,73,"international ages",100.5,97.2,93.9,6.59999999999999,"Ce","#B3DE53","black"
"Changhsingian","Blue mesophotic",14,48,"international ages",254.14,253.021,251.902,2.238,"Chan","#FCC0B2","black"
"Changhsingian","Euphotic",5,48,"international ages",254.14,253.021,251.902,2.238,"Chan","#FCC0B2","black"
"Changhsingian","Unknown",43,48,"international ages",254.14,253.021,251.902,2.238,"Chan","#FCC0B2","black"
"Chattian","Blue mesophotic",10,87,"international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
"Chattian","Brown mesophotic",158,87,"international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
"Chattian","Euphotic",1134,87,"international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
"Chattian","Unknown",74,87,"international ages",27.82,25.425,23.03,4.79,"Chat","#FEE6AA","black"
"Coniacian","Blue mesophotic",5,75,"international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
"Coniacian","Brown mesophotic",3,75,"international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
"Coniacian","Euphotic",55,75,"international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
"Coniacian","Unknown",17,75,"international ages",89.8,88.05,86.3,3.5,"Co","#CCE968","black"
"Danian","Blue mesophotic",14,79,"international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
"Danian","Brown mesophotic",33,79,"international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
"Danian","Euphotic",91,79,"international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
"Danian","Unknown",95,79,"international ages",66,63.8,61.6,4.4,"Dan","#FDB462","black"
"Dapingian","Euphotic",4,13,"international ages",470,468.65,467.3,2.69999999999999,"Dap","#66C092","black"
"Dapingian","Unknown",6,13,"international ages",470,468.65,467.3,2.69999999999999,"Dap","#66C092","black"
"Darriwilian","Blue mesophotic",4,14,"international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
"Darriwilian","Brown mesophotic",2,14,"international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
"Darriwilian","Euphotic",21,14,"international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
"Darriwilian","Unknown",22,14,"international ages",467.3,462.85,458.4,8.90000000000003,"Dar","#74C69C","black"
"Eifelian","Blue mesophotic",96,29,"international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
"Eifelian","Brown mesophotic",33,29,"international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
"Eifelian","Euphotic",786,29,"international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
"Eifelian","Unknown",309,29,"international ages",393.3,390.5,387.7,5.60000000000002,"Ei","#F1D576","black"
"Emsian","Blue mesophotic",36,28,"international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
"Emsian","Brown mesophotic",33,28,"international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
"Emsian","Euphotic",398,28,"international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
"Emsian","Unknown",546,28,"international ages",407.6,400.45,393.3,14.3,"Em","#E5D075","black"
"Famennian","Brown mesophotic",1,32,"international ages",372.2,365.55,358.9,13.3,"Fa","#F2EDC5","black"
"Famennian","Euphotic",37,32,"international ages",372.2,365.55,358.9,13.3,"Fa","#F2EDC5","black"
"Famennian","Unknown",77,32,"international ages",372.2,365.55,358.9,13.3,"Fa","#F2EDC5","black"
"Floian","Euphotic",5,12,"international ages",477.7,473.85,470,7.69999999999999,"Fl","#41B087","black"
"Floian","Unknown",3,12,"international ages",477.7,473.85,470,7.69999999999999,"Fl","#41B087","black"
"Frasnian","Blue mesophotic",30,31,"international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
"Frasnian","Brown mesophotic",37,31,"international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
"Frasnian","Euphotic",797,31,"international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
"Frasnian","Unknown",209,31,"international ages",382.7,377.45,372.2,10.5,"Fr","#F2EDAD","black"
"Givetian","Blue mesophotic",82,30,"international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
"Givetian","Brown mesophotic",220,30,"international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
"Givetian","Euphotic",1133,30,"international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
"Givetian","Unknown",618,30,"international ages",387.7,385.2,382.7,5,"Gi","#F1E185","black"
"Gorstian","Blue mesophotic",12,23,"international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
"Gorstian","Brown mesophotic",6,23,"international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
"Gorstian","Euphotic",163,23,"international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
"Gorstian","Unknown",272,23,"international ages",427.4,426.5,425.6,1.79999999999995,"Go","#CCECDD","black"
"Gzhelian","Euphotic",20,39,"international ages",303.7,301.3,298.9,4.80000000000001,"Gz","#CCD4C7","black"
"Gzhelian","Unknown",12,39,"international ages",303.7,301.3,298.9,4.80000000000001,"Gz","#CCD4C7","black"
"Hauterivian","Brown mesophotic",13,69,"international ages",132.6,129.185,125.77,6.83,"Ha","#A6D975","black"
"Hauterivian","Euphotic",187,69,"international ages",132.6,129.185,125.77,6.83,"Ha","#A6D975","black"
"Hauterivian","Unknown",22,69,"international ages",132.6,129.185,125.77,6.83,"Ha","#A6D975","black"
"Hettangian","Blue mesophotic",1,56,"international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
"Hettangian","Brown mesophotic",17,56,"international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
"Hettangian","Euphotic",55,56,"international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
"Hettangian","Unknown",27,56,"international ages",201.4,200.45,199.5,1.90000000000001,"He","#4EB3D3","black"
"Hirnantian","Blue mesophotic",2,17,"international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
"Hirnantian","Brown mesophotic",6,17,"international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
"Hirnantian","Euphotic",96,17,"international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
"Hirnantian","Unknown",92,17,"international ages",445.2,444.5,443.8,1.39999999999998,"Hi","#A6DBAB","black"
"Holocene","Blue mesophotic",12,97,"international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
"Holocene","Brown mesophotic",1,97,"international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
"Holocene","Euphotic",1198,97,"international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
"Holocene","Unknown",55,97,"international ages",0.0117,0.00585,0,0.0117,"H","#FEF2E0","black"
"Homerian","Blue mesophotic",40,22,"international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
"Homerian","Brown mesophotic",17,22,"international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
"Homerian","Euphotic",241,22,"international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
"Homerian","Unknown",419,22,"international ages",430.5,428.95,427.4,3.10000000000002,"Ho","#CCEBD1","black"
"Kasimovian","Euphotic",6,38,"international ages",307,305.35,303.7,3.30000000000001,"Kas","#BFD0C5","black"
